lc01,lc02,lc03,lc04,lc05,lc06,lc07,lc08,lc09,lc10,lc11,lc12,prec,tmin,tmax,soil01,soil02,soil03,soil04,soil05,soil06,soil07,soil08,soil09,soil10,hydro01,hydro02,hydro03,hydro04,hydro05,hydro06,hydro07,hydro08,hydro09,hydro10,hydro11,hydro12,hydro13,hydro14,hydro15,hydro16,hydro17,hydro18,hydro19,dem,slope,order,bcmean
66,0,1,33,0,0,0,0,0,0,0,0,43854.0,11.0,110.0,117,50,37,47,16,13,24,988,240,7,95,113,46,4729,243,-3,246,42,156,158,39,374888,64617,4418,68,182937,21313,182937,21313,498,407,2,-1.43559151929694
53,0,2,43,0,0,0,0,0,0,0,2,36718.0,15.0,117.0,92,52,39,46,16,13,23,1057,240,7,100,114,45,4886,251,-1,252,45,163,165,41,316679,54974,3710,68,155202,18107,155202,18107,365,402,2,-1.07073884655833
28,0,15,45,23,22,12,0,0,0,5,2,77547512.0,22.0,120.0,69,68,46,44,21,17,27,1270,240,7,108,113,39,5677,288,2,286,45,184,185,41,868295360,107329616,38819396,29,310689856,136347296,310689856,136347296,1470,492,8,-0.474586336161834
59,0,2,33,0,0,6,0,0,0,0,0,71198.0,17.0,117.0,98,52,39,46,16,14,23,1041,240,7,101,111,44,4876,248,0,248,46,164,165,42,621561,106405,7735,67,302169,37266,302169,37266,342,467,2,-0.747083015170708
52,0,2,43,0,0,1,0,0,0,0,2,39627.0,16.0,118.0,87,52,39,45,16,12,22,1082,240,6,101,115,45,4930,254,0,254,46,165,167,42,342273,59549,3999,68,167904,19575,167904,19575,341,391,2,-0.58979531042056
46,0,3,33,0,1,15,0,0,0,0,1,110731.0,17.0,119.0,81,52,39,44,17,11,21,1132,240,6,102,116,45,4957,256,0,256,46,166,168,42,958733,167329,11217,68,470310,55128,470310,55128,315,353,3,-0.34183353944522
55,0,2,32,0,1,9,0,1,0,0,0,78209.0,18.0,119.0,91,52,39,45,16,13,22,1074,240,7,102,112,44,4932,251,0,251,46,166,167,42,684119,117497,8462,67,333116,40989,333116,40989,315,441,2,-0.5093723975308
46,0,3,31,0,2,17,0,1,0,0,0,156126.5,24.0,133.5,80,53,39,44,17,11,21,1131,240,6,103,114,44,4972,256,0,256,47,168,169,43,1769435,307267,21228,68,865826,104122,865826,104122,290,363,3,-0.334713835220177
30,0,4,32,0,3,29,0,1,0,0,0,150867.0,23.0,125.0,55,51,39,42,19,9,18,1250,240,6,108,113,43,5217,262,2,260,48,176,176,44,1375047,233499,18441,65,662045,92675,662045,92675,208,248,3,0.615971920287338
38,0,4,31,0,3,23,0,1,0,0,0,358839.0,20.0,122.0,67,52,39,43,18,10,20,1192,240,6,105,114,44,5100,259,1,258,47,171,172,43,3192643,549213,40327,66,1551296,200221,1551296,200221,246,302,4,0.261638010889334
38,0,4,30,0,3,24,0,1,0,0,0,361470.0,20.0,123.0,66,52,39,43,18,10,20,1194,240,6,105,114,44,5110,259,1,258,47,172,173,43,3217394,553530,40677,66,1563258,202045,1563258,202045,244,298,4,0.370331580008868
35,0,4,29,0,2,25,0,4,0,0,0,391837.0,21.0,124.0,62,53,39,43,18,10,20,1213,240,5,106,114,44,5143,260,2,258,48,173,174,44,3509029,602719,45128,66,1701262,224952,1701262,224952,226,277,4,0.69613899156303
20,1,5,20,0,2,26,0,27,0,0,0,25294.0,26.0,129.0,33,58,43,40,17,6,19,1352,240,3,112,112,42,5360,267,4,263,50,182,182,46,243165,40867,3731,61,114825,19192,114825,19192,100,128,2,0.412691573415579
20,0,5,20,0,2,27,0,25,0,0,0,23505.0,26.0,129.0,33,58,43,40,17,7,19,1351,240,3,112,112,42,5352,267,4,263,50,182,182,47,226228,37940,3485,60,106680,17909,106680,17909,103,137,2,0.224005285699658
20,0,6,21,0,2,28,0,23,0,0,0,20600.0,27.0,129.0,34,57,43,40,17,7,18,1348,240,4,112,112,42,5359,267,4,263,50,182,182,47,198461,33181,3065,60,93411,15754,93411,15754,111,155,2,0.0510497770558835
20,0,6,21,0,2,28,0,23,0,0,0,20082.0,27.0,129.0,34,57,43,40,17,7,18,1347,240,4,112,112,42,5359,267,4,263,50,182,182,47,193504,32334,2990,60,91046,15365,91046,15365,112,159,2,0.261107673144111
20,0,6,21,0,2,28,0,23,0,0,0,20082.0,27.0,129.0,34,57,43,40,17,7,18,1347,240,4,112,112,42,5359,267,4,263,50,182,182,47,193504,32334,2990,60,91046,15365,91046,15365,112,159,2,0.419045103958457
